Constituency	Fianna Fáil	Sinn Féin	Fine Gael	Green	Labour	Social Democrats	PBP–Solidarity	Independent Ireland	Aontú	Independent	Others
Longford–Westmeath (5 seats)	Dympna Cunniffe Joe Flaherty[*] Robert Troy[*]	Sorca Clarke[*] Barry Campion	Peter Burke[*] Micheál Carrigy[#] Tanya Cannon	Carol Okeke	Fidelma Bennett[38]		Dave Smyth	Paul Hogan	Laura O'Neill	Kevin "Boxer" Moran[‡] Louise Heavin Donal Jackson Gerry Warnock	
Louth (5 seats)	Erin McGreehan[#] Alison Comyn	Ruairí Ó Murchú[*] Joanna Byrne Antóin Watters	John McGahon[#] Paula Butterly	Marianne Butler	Ged Nash[*]	Niall McCreanor	James Renaghan	Ryan McKeown	Michael O'Dowd	Kevin Callan Peter James Nugent	Hermann Kelly (IFP) Derek McElearney (IP)
Mayo (5 seats)	Dara Calleary[*] Lisa Chambers[#]	Rose Conway-Walsh[*] Gerry Murray	Alan Dillon[*] Mark Duffy Keira Keogh Martina Jennings	Mícheál Ó Conaill			Joe Daly	Chris Maxwell	Paul Lawless	Patsy O'Brien Stephen Kerr	
Meath East (4 seats)	Thomas Byrne[*] Caroline O'Reilly	Darren O'Rourke[*] Maria White	Helen McEntee[*] Sharon Tolan	Ruadháin Bonham	Eilish Balfe		Clara McCormack		Emer Tóibín	Gillian Toole	Jean Murray (NP)
Meath West (3 seats)	Aisling Dempsey	Johnny Guirke[*]	Linda Murray Nelson	Seamus McMenamin		Ronan Moore	Finbar Lynch		Peadar Tóibín[*]	Noel French	Ian McGauley (IP) David O'Shea (IFP)
Offaly (3 seats)	Tony McCormack[39] Claire Murray	Aoife Masterson[39]	John Clendenenn[39]	Pippa Hackett[#]			Keishia Taylor	Fergus McDonnell[39]	Maureen Ward	Carol Nolan[*][39] Eddie Fitzpatrick[40]	
Roscommon–Galway (3 seats)	Martin Daly	Claire Kerrane[*]	Aisling Dolan[#] Dympna Daly Finn	Martina O'Connor			Andrew Mannion	Michael Fitzmaurice[*]	Cormac Ó Corcoráin	Eugene Murphy[#][41]	
Sligo–Leitrim (4 seats)	Edel McSharry Eamon Scanlon[‡][42] Paddy O'Rourke	Martin Kenny[*] Chris MacManus	Frank Feighan[*]	Bláithín Gallagher	Nessa Cosgrove			Michael Clarke	Graham Monaghan	Marian Harkin[*]	Michael Kelly (IP)
Tipperary North (3 seats)	Ryan O'Meara Michael Smith	Dan Harty	Phyll Bugler	Iva Pocock	Alan Kelly[*]		Diana Dwyer		Francis O’Toole	Michael Lowry[*] Jim Ryan	Peter Madden (IP)
Tipperary South (3 seats)	Imelda Goldsboro	Martin Browne[*]	Michael Murphy	Myriam Madigan	Michael Brennan			Nadaline Webster		Mattie McGrath[*] John O'Heney	Séamus Healy[‡] (WUA) John McGrath (NP)
Waterford (4 seats)	Mary Butler[*]	David Cullinane[*] Conor McGuinness	John Cummins[#]	Marc Ó Cathasaigh[*]	Sadhbh O'Neill	Mary Roche	Patrick Curtain		Ronan Cleary	Killian Mangan	John D Walsh (IP)
Wexford (4 seats)	James Browne[*] Michelle O'Neill[43]	Johnny Mythen[*]	Bridín Murphy Cathal Byrne	Peadar McDonald	George Lawlor		Martina Stafford		Jim Codd	Verona Murphy[*] Michael Sheehan[44]	Jason Murphy (NP) Stephen Power (IP)
Wicklow (4 seats)	Stephen Donnelly[*]	John Brady[*]	Simon Harris[*] Edward Timmins	Steven Matthews[*]	Paul O'Brien	Jennifer Whitmore[*]	Kellie McConnell[45]		Ciarán Hogan	Joe Behan[‡] Shay Cullen Charlie Keddy Rob Carry	
Wicklow–Wexford (3 seats)	Malcolm Byrne[#] Pat Kennedy	Fionntán O Súillebháin	Brian Brennan	Ann Walsh			Aislinn O'Keeffe		Sinéad Boland	Peir Leonard	
